Date,Ticker,Type,Quantity,Price per share,Total Amount,Currency,FX Rate
2025-11-12T20:37:18.287451Z,,CASH TOP-UP,,,USD 300,USD,1.1613
2025-11-12T20:37:19Z,AIZ,BUY - MARKET,1.31618586,USD 227.05,USD 300,USD,1.1613
2025-11-14T10:11:33.590938Z,AAPL,DIVIDEND,,,USD 0.22,USD,1.1646
2025-12-29T23:21:28.140077Z,NVDA,DIVIDEND,,,USD 0.01,USD,1.1799
2025-12-30T10:38:04.432262Z,AIZ,DIVIDEND,,,USD 0.98,USD,1.1802
2026-01-10T14:08:54.343986Z,,CASH TOP-UP,,,EUR 300,EUR,1.0000
2026-01-12T07:00:18.391Z,REP,BUY - MARKET,18.25609756,EUR 16.40,EUR 300,EUR,1.0000
2026-01-12T17:44:31.827593Z,RL,DIVIDEND,,,USD 0.66,USD,1.1698
2026-01-21T17:04:53.284443Z,ENL,DIVIDEND,,,EUR 0.06,EUR,1.0000
2026-01-27T18:37:34.935456Z,,CASH TOP-UP,,,EUR 400,EUR,1.0000
2026-01-27T18:38:19.903Z,7LB,BUY - MARKET,0.04100719,EUR 9730,EUR 400,EUR,1.0000
2026-01-30T07:00:12.157Z,ENL,SELL - MARKET,0.4019668,EUR 9.23,EUR 3.71,EUR,1.0000
2026-02-03T19:06:53.698303Z,VHM,DIVIDEND,,,EUR 1.11,EUR,1.0000
2026-02-13T09:31:22.497581Z,AAPL,DIVIDEND,,,USD 0.22,USD,1.1889
